timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2025-09-04T13:53:26,codecarbon,7f60a6d3-23d1-44a2-832b-ed098e31ba4d,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,40.32213609397877,0.0003000905321544,7.442327248114944e-06,12.81127292741818,223.58355044178447,38.0,0.0001381295325795,0.0025035189472575,0.0004096645326737,0.0030513130125108,Brazil,BRA,são paulo,,,Linux-6.14.0-28-generic-x86_64-with-glibc2.39,3.13.5,3.0.4,32,Intel(R) Core(TM) i9-14900KF,1,1 x NVIDIA RTX A5000,-46.6351,-23.6293,125.63411331176758,machine,N,1.0
2025-09-04T15:28:02,codecarbon,c726ba5a-6017-4d87-aeb9-6344119289b0,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,39.88073333003558,0.0002970355420824,7.448096293123827e-06,12.815938300160004,221.089152832658,38.0,0.0001365952773793,0.0024786564273711,0.0004049982452485,0.0030202499499989,Brazil,BRA,são paulo,,,Linux-6.14.0-28-generic-x86_64-with-glibc2.39,3.13.5,3.0.4,32,Intel(R) Core(TM) i9-14900KF,1,1 x NVIDIA RTX A5000,-46.6351,-23.6293,125.63411331176758,machine,N,1.0
2025-09-04T17:13:58,codecarbon,156772f7-bc55-4328-80fd-486814f105fd,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,35.66841820208356,0.0002649696439047386,7.428690624953492e-06,12.806700070400002,216.53191130808236,38.0,0.000121495714847243,0.002212180380858797,0.0003605286049969598,0.0026942047007029995,Brazil,BRA,são paulo,,,Linux-6.14.0-28-generic-x86_64-with-glibc2.39,3.13.5,3.0.4,32,Intel(R) Core(TM) i9-14900KF,1,1 x NVIDIA RTX A5000,-46.6351,-23.6293,125.63411331176758,machine,N,1.0
